Year,Month,Zone,Parameter,Value
1981,9,NW,activity_degC_days_m2,0.0
1981,9,NW,mean_intensity_degC,
1981,10,NW,activity_degC_days_m2,0.0
1981,10,NW,mean_intensity_degC,
1981,11,NW,activity_degC_days_m2,0.0
1981,11,NW,mean_intensity_degC,
1981,12,NW,activity_degC_days_m2,0.0
1981,12,NW,mean_intensity_degC,
1982,1,NW,activity_degC_days_m2,0.0
1982,1,NW,mean_intensity_degC,
1982,2,NW,activity_degC_days_m2,4392613740.840991
1982,2,NW,mean_area_km2,62.31112826154329
1982,2,NW,mean_duration_days,6.0
1982,2,NW,mean_intensity_degC,1.221205234527588
1982,2,NW,number_of_events,1.0
1982,2,NW,sum_area_km2,62.31112826154329
1982,3,NW,activity_degC_days_m2,0.0
1982,3,NW,mean_intensity_degC,
1982,4,NW,activity_degC_days_m2,0.0
1982,4,NW,mean_intensity_degC,
1982,5,NW,activity_degC_days_m2,0.0
1982,5,NW,mean_intensity_degC,
1982,6,NW,activity_degC_days_m2,0.0
1982,6,NW,mean_intensity_degC,
1982,7,NW,activity_degC_days_m2,3251664080.833272
1982,7,NW,mean_area_km2,62.31112826154345
1982,7,NW,mean_duration_days,5.0
1982,7,NW,mean_intensity_degC,1.0848071575164795
1982,7,NW,number_of_events,1.0
1982,7,NW,sum_area_km2,62.31112826154345
1982,8,NW,activity_degC_days_m2,0.0
1982,8,NW,mean_intensity_degC,
1982,9,NW,activity_degC_days_m2,0.0
1982,9,NW,mean_intensity_degC,
1982,10,NW,activity_degC_days_m2,0.0
1982,10,NW,mean_intensity_degC,
1982,11,NW,activity_degC_days_m2,0.0
1982,11,NW,mean_intensity_degC,
1982,12,NW,activity_degC_days_m2,0.0
1982,12,NW,mean_intensity_degC,
1983,1,NW,activity_degC_days_m2,0.0
1983,1,NW,mean_intensity_degC,
1983,2,NW,activity_degC_days_m2,0.0
1983,2,NW,mean_intensity_degC,
1983,3,NW,activity_degC_days_m2,0.0
1983,3,NW,mean_intensity_degC,
1983,4,NW,activity_degC_days_m2,0.0
1983,4,NW,mean_intensity_degC,
1983,5,NW,activity_degC_days_m2,0.0
1983,5,NW,mean_intensity_degC,
1983,6,NW,activity_degC_days_m2,0.0
1983,6,NW,mean_intensity_degC,
1983,7,NW,activity_degC_days_m2,46532548134.97229
1983,7,NW,mean_area_km2,81.96379916501739
1983,7,NW,mean_duration_days,7.714285714285714
1983,7,NW,mean_intensity_degC,1.4332821369171143
1983,7,NW,number_of_events,7.0
1983,7,NW,sum_area_km2,573.7465941551218
1983,8,NW,activity_degC_days_m2,12102410342.648714
1983,8,NW,mean_area_km2,63.99125161361358
1983,8,NW,mean_duration_days,7.5
1983,8,NW,mean_intensity_degC,1.3318192958831787
1983,8,NW,number_of_events,2.0
1983,8,NW,sum_area_km2,127.98250322722716
1983,9,NW,activity_degC_days_m2,0.0
1983,9,NW,mean_intensity_degC,
1983,10,NW,activity_degC_days_m2,0.0
1983,10,NW,mean_intensity_degC,
1983,11,NW,activity_degC_days_m2,157361757298.98676
1983,11,NW,mean_area_km2,79.46387172345048
1983,11,NW,mean_duration_days,13.148148148148149
1983,11,NW,mean_intensity_degC,1.6846104860305786
1983,11,NW,number_of_events,27.0
1983,11,NW,sum_area_km2,2145.524536533163
1983,12,NW,activity_degC_days_m2,221115462393.04944
1983,12,NW,mean_area_km2,76.40802552035197
1983,12,NW,mean_duration_days,5.0
1983,12,NW,mean_intensity_degC,1.3663520812988281
1983,12,NW,number_of_events,5.0
1983,12,NW,sum_area_km2,382.04012760175993
1984,1,NW,activity_degC_days_m2,0.0
1984,1,NW,mean_intensity_degC,
1984,2,NW,activity_degC_days_m2,0.0
1984,2,NW,mean_intensity_degC,
1984,3,NW,activity_degC_days_m2,0.0
1984,3,NW,mean_intensity_degC,
1984,4,NW,activity_degC_days_m2,0.0
1984,4,NW,mean_intensity_degC,
1984,5,NW,activity_degC_days_m2,0.0
1984,5,NW,mean_intensity_degC,
1984,6,NW,activity_degC_days_m2,0.0
1984,6,NW,mean_intensity_degC,
1984,7,NW,activity_degC_days_m2,61028676877.520676
1984,7,NW,mean_area_km2,66.93052179643644
1984,7,NW,mean_duration_days,7.75
1984,7,NW,mean_intensity_degC,1.6088106632232666
1984,7,NW,number_of_events,8.0
1984,7,NW,sum_area_km2,535.4441743714915
1984,8,NW,activity_degC_days_m2,0.0
1984,8,NW,mean_intensity_degC,
1984,9,NW,activity_degC_days_m2,0.0
1984,9,NW,mean_intensity_degC,
1984,10,NW,activity_degC_days_m2,0.0
1984,10,NW,mean_intensity_degC,
1984,11,NW,activity_degC_days_m2,0.0
1984,11,NW,mean_intensity_degC,
1984,12,NW,activity_degC_days_m2,0.0
1984,12,NW,mean_intensity_degC,
1985,1,NW,activity_degC_days_m2,0.0
1985,1,NW,mean_intensity_degC,
1985,2,NW,activity_degC_days_m2,0.0
1985,2,NW,mean_intensity_degC,
1985,3,NW,activity_degC_days_m2,0.0
1985,3,NW,mean_intensity_degC,
1985,4,NW,activity_degC_days_m2,0.0
1985,4,NW,mean_intensity_degC,
1985,5,NW,activity_degC_days_m2,0.0
1985,5,NW,mean_intensity_degC,
1985,6,NW,activity_degC_days_m2,0.0
1985,6,NW,mean_intensity_degC,
1985,7,NW,activity_degC_days_m2,64118711609.39675
1985,7,NW,mean_area_km2,81.61280345099061
1985,7,NW,mean_duration_days,5.333333333333333
1985,7,NW,mean_intensity_degC,1.6756300926208496
1985,7,NW,number_of_events,12.0
1985,7,NW,sum_area_km2,979.3536414118875
1985,8,NW,activity_degC_days_m2,0.0
1985,8,NW,mean_intensity_degC,
1985,9,NW,activity_degC_days_m2,0.0
1985,9,NW,mean_intensity_degC,
1985,10,NW,activity_degC_days_m2,0.0
1985,10,NW,mean_intensity_degC,
1985,11,NW,activity_degC_days_m2,0.0
1985,11,NW,mean_intensity_degC,
1985,12,NW,activity_degC_days_m2,0.0
1985,12,NW,mean_intensity_degC,
1986,1,NW,activity_degC_days_m2,0.0
1986,1,NW,mean_intensity_degC,
1986,2,NW,activity_degC_days_m2,0.0
1986,2,NW,mean_intensity_degC,
1986,3,NW,activity_degC_days_m2,0.0
1986,3,NW,mean_intensity_degC,
1986,4,NW,activity_degC_days_m2,0.0
1986,4,NW,mean_intensity_degC,
